noise_step,rho,image_name,group,auc,half_life
0,0.0,ILSVRC2012_val_00000487,low,1.0,
0,0.0,ILSVRC2012_val_00000487,high,1.0,
0,0.0,ILSVRC2012_val_00000681,low,1.0,
0,0.0,ILSVRC2012_val_00000681,high,1.0,
0,0.0,ILSVRC2012_val_00000729,low,1.0,
0,0.0,ILSVRC2012_val_00000729,high,1.0,
0,0.0,ILSVRC2012_val_00000974,low,1.0,
0,0.0,ILSVRC2012_val_00000974,high,1.0,
0,0.0,ILSVRC2012_val_00003449,low,1.0,
0,0.0,ILSVRC2012_val_00003449,high,1.0,
0,0.0,ILSVRC2012_val_00005130,low,1.0,
0,0.0,ILSVRC2012_val_00005130,high,1.0,
0,0.0,ILSVRC2012_val_00006808,low,1.0,
0,0.0,ILSVRC2012_val_00006808,high,1.0,
0,0.0,ILSVRC2012_val_00010733,low,1.0,
0,0.0,ILSVRC2012_val_00010733,high,1.0,
0,0.0,ILSVRC2012_val_00014541,low,1.0,
0,0.0,ILSVRC2012_val_00014541,high,1.0,
0,0.0,ILSVRC2012_val_00018922,low,1.0,
0,0.0,ILSVRC2012_val_00018922,high,1.0,
0,0.0,ILSVRC2012_val_00025924,low,1.0,
0,0.0,ILSVRC2012_val_00025924,high,1.0,
0,0.0,ILSVRC2012_val_00027450,low,1.0,
0,0.0,ILSVRC2012_val_00027450,high,1.0,
0,0.0,ILSVRC2012_val_00029063,low,1.0,
0,0.0,ILSVRC2012_val_00029063,high,1.0,
0,0.0,ILSVRC2012_val_00030419,low,1.0,
0,0.0,ILSVRC2012_val_00030419,high,1.0,
0,0.0,ILSVRC2012_val_00030425,low,1.0,
0,0.0,ILSVRC2012_val_00030425,high,1.0,
0,0.0,ILSVRC2012_val_00035318,low,1.0,
0,0.0,ILSVRC2012_val_00035318,high,1.0,
0,0.0,ILSVRC2012_val_00035574,low,1.0,
0,0.0,ILSVRC2012_val_00035574,high,1.0,
0,0.0,ILSVRC2012_val_00036158,low,1.0,
0,0.0,ILSVRC2012_val_00036158,high,1.0,
0,0.0,ILSVRC2012_val_00041330,low,1.0,
0,0.0,ILSVRC2012_val_00041330,high,1.0,
0,0.0,ILSVRC2012_val_00048463,low,1.0,
0,0.0,ILSVRC2012_val_00048463,high,1.0,
100,0.1,ILSVRC2012_val_00000487,low,0.239295238299792,0.02464270363400696
100,0.1,ILSVRC2012_val_00000487,high,0.477369267136852,0.3246685602691599
100,0.1,ILSVRC2012_val_00000681,low,0.4433375030592084,0.2725395902375231
100,0.1,ILSVRC2012_val_00000681,high,0.746163850106299,
100,0.1,ILSVRC2012_val_00000729,low,0.40859645564930386,0.05144916956346292
100,0.1,ILSVRC2012_val_00000729,high,0.7368465937623336,
100,0.1,ILSVRC2012_val_00000974,low,0.34828502679318185,0.02755064476665461
100,0.1,ILSVRC2012_val_00000974,high,0.8185799150079488,
100,0.1,ILSVRC2012_val_00003449,low,0.43975738502691186,0.2630697094982615
100,0.1,ILSVRC2012_val_00003449,high,0.7198252604506135,0.8495209735369416
100,0.1,ILSVRC2012_val_00005130,low,0.5401210773393512,0.5816451291667971
100,0.1,ILSVRC2012_val_00005130,high,0.7838320214390755,
100,0.1,ILSVRC2012_val_00006808,low,0.5083156341950099,0.46270824983843817
100,0.1,ILSVRC2012_val_00006808,high,0.5738666398430864,0.6803850162859927
100,0.1,ILSVRC2012_val_00010733,low,0.3781600735339026,0.13773857950659144
100,0.1,ILSVRC2012_val_00010733,high,0.6447832891625662,0.8843556905413644
100,0.1,ILSVRC2012_val_00014541,low,0.49267099857429664,0.3663225796619029
100,0.1,ILSVRC2012_val_00014541,high,0.7969464399059614,
100,0.1,ILSVRC2012_val_00018922,low,0.49470405472908174,0.44720521291642673
100,0.1,ILSVRC2012_val_00018922,high,0.5289353910453618,0.4792216567408996
100,0.1,ILSVRC2012_val_00025924,low,0.3116914646928509,0.05957109562997105
100,0.1,ILSVRC2012_val_00025924,high,0.5699695153836472,0.67522821684702
100,0.1,ILSVRC2012_val_00027450,low,0.35168289999614155,0.046312898059012925
100,0.1,ILSVRC2012_val_00027450,high,0.7848921223799388,
100,0.1,ILSVRC2012_val_00029063,low,0.22008910779335228,0.027911031517862516
100,0.1,ILSVRC2012_val_00029063,high,0.6149992589304185,0.6628142022540405
100,0.1,ILSVRC2012_val_00030419,low,0.18006932933605274,0.018488276858971302
100,0.1,ILSVRC2012_val_00030419,high,0.7176303011350333,
