noise_step,rho,image_name,exists,source
0,0.0,ILSVRC2012_val_00000487,True,analytic
0,0.0,ILSVRC2012_val_00035318,True,analytic
0,0.0,ILSVRC2012_val_00025924,True,analytic
0,0.0,ILSVRC2012_val_00010733,True,analytic
0,0.0,ILSVRC2012_val_00030419,True,analytic
0,0.0,ILSVRC2012_val_00006808,True,analytic
0,0.0,ILSVRC2012_val_00005130,True,analytic
0,0.0,ILSVRC2012_val_00029063,True,analytic
0,0.0,ILSVRC2012_val_00000729,True,analytic
0,0.0,ILSVRC2012_val_00048463,True,analytic
0,0.0,ILSVRC2012_val_00027450,True,analytic
0,0.0,ILSVRC2012_val_00036158,True,analytic
0,0.0,ILSVRC2012_val_00000974,True,analytic
0,0.0,ILSVRC2012_val_00000681,True,analytic
0,0.0,ILSVRC2012_val_00035574,True,analytic
0,0.0,ILSVRC2012_val_00003449,True,analytic
0,0.0,ILSVRC2012_val_00030425,True,analytic
0,0.0,ILSVRC2012_val_00018922,True,analytic
0,0.0,ILSVRC2012_val_00041330,True,analytic
0,0.0,ILSVRC2012_val_00014541,True,analytic
100,0.1,ILSVRC2012_val_00000487,True,file
100,0.1,ILSVRC2012_val_00035318,True,file
100,0.1,ILSVRC2012_val_00025924,True,file
100,0.1,ILSVRC2012_val_00010733,True,file
100,0.1,ILSVRC2012_val_00030419,True,file
100,0.1,ILSVRC2012_val_00006808,True,file
100,0.1,ILSVRC2012_val_00005130,True,file
100,0.1,ILSVRC2012_val_00029063,True,file
100,0.1,ILSVRC2012_val_00000729,True,file
100,0.1,ILSVRC2012_val_00048463,True,file
100,0.1,ILSVRC2012_val_00027450,True,file
100,0.1,ILSVRC2012_val_00036158,True,file
100,0.1,ILSVRC2012_val_00000974,True,file
100,0.1,ILSVRC2012_val_00000681,True,file
100,0.1,ILSVRC2012_val_00035574,True,file
100,0.1,ILSVRC2012_val_00003449,True,file
100,0.1,ILSVRC2012_val_00030425,True,file
100,0.1,ILSVRC2012_val_00018922,True,file
100,0.1,ILSVRC2012_val_00041330,True,file
100,0.1,ILSVRC2012_val_00014541,True,file
200,0.2,ILSVRC2012_val_00000487,True,file
200,0.2,ILSVRC2012_val_00035318,True,file
200,0.2,ILSVRC2012_val_00025924,True,file
200,0.2,ILSVRC2012_val_00010733,True,file
200,0.2,ILSVRC2012_val_00030419,True,file
200,0.2,ILSVRC2012_val_00006808,True,file
200,0.2,ILSVRC2012_val_00005130,True,file
200,0.2,ILSVRC2012_val_00029063,True,file
200,0.2,ILSVRC2012_val_00000729,True,file
200,0.2,ILSVRC2012_val_00048463,True,file
200,0.2,ILSVRC2012_val_00027450,True,file
200,0.2,ILSVRC2012_val_00036158,True,file
200,0.2,ILSVRC2012_val_00000974,True,file
200,0.2,ILSVRC2012_val_00000681,True,file
200,0.2,ILSVRC2012_val_00035574,True,file
200,0.2,ILSVRC2012_val_00003449,True,file
200,0.2,ILSVRC2012_val_00030425,True,file
200,0.2,ILSVRC2012_val_00018922,True,file
200,0.2,ILSVRC2012_val_00041330,True,file
200,0.2,ILSVRC2012_val_00014541,True,file
400,0.4,ILSVRC2012_val_00000487,True,file
400,0.4,ILSVRC2012_val_00035318,True,file
400,0.4,ILSVRC2012_val_00025924,True,file
400,0.4,ILSVRC2012_val_00010733,True,file
400,0.4,ILSVRC2012_val_00030419,True,file
400,0.4,ILSVRC2012_val_00006808,True,file
400,0.4,ILSVRC2012_val_00005130,True,file
400,0.4,ILSVRC2012_val_00029063,True,file
400,0.4,ILSVRC2012_val_00000729,True,file
400,0.4,ILSVRC2012_val_00048463,True,file
400,0.4,ILSVRC2012_val_00027450,True,file
400,0.4,ILSVRC2012_val_00036158,True,file
400,0.4,ILSVRC2012_val_00000974,True,file
400,0.4,ILSVRC2012_val_00000681,True,file
400,0.4,ILSVRC2012_val_00035574,True,file
400,0.4,ILSVRC2012_val_00003449,True,file
400,0.4,ILSVRC2012_val_00030425,True,file
400,0.4,ILSVRC2012_val_00018922,True,file
400,0.4,ILSVRC2012_val_00041330,True,file
400,0.4,ILSVRC2012_val_00014541,True,file
600,0.6,ILSVRC2012_val_00000487,True,file
600,0.6,ILSVRC2012_val_00035318,True,file
600,0.6,ILSVRC2012_val_00025924,True,file
600,0.6,ILSVRC2012_val_00010733,True,file
600,0.6,ILSVRC2012_val_00030419,True,file
600,0.6,ILSVRC2012_val_00006808,True,file
600,0.6,ILSVRC2012_val_00005130,True,file
600,0.6,ILSVRC2012_val_00029063,True,file
600,0.6,ILSVRC2012_val_00000729,True,file
600,0.6,ILSVRC2012_val_00048463,True,file
600,0.6,ILSVRC2012_val_00027450,True,file
600,0.6,ILSVRC2012_val_00036158,True,file
600,0.6,ILSVRC2012_val_00000974,True,file
600,0.6,ILSVRC2012_val_00000681,True,file
600,0.6,ILSVRC2012_val_00035574,True,file
600,0.6,ILSVRC2012_val_00003449,True,file
600,0.6,ILSVRC2012_val_00030425,True,file
600,0.6,ILSVRC2012_val_00018922,True,file
600,0.6,ILSVRC2012_val_00041330,True,file
600,0.6,ILSVRC2012_val_00014541,True,file
800,0.8,ILSVRC2012_val_00000487,True,file
800,0.8,ILSVRC2012_val_00035318,True,file
800,0.8,ILSVRC2012_val_00025924,True,file
800,0.8,ILSVRC2012_val_00010733,True,file
800,0.8,ILSVRC2012_val_00030419,True,file
800,0.8,ILSVRC2012_val_00006808,True,file
800,0.8,ILSVRC2012_val_00005130,True,file
800,0.8,ILSVRC2012_val_00029063,True,file
800,0.8,ILSVRC2012_val_00000729,True,file
800,0.8,ILSVRC2012_val_00048463,True,file
800,0.8,ILSVRC2012_val_00027450,True,file
800,0.8,ILSVRC2012_val_00036158,True,file
800,0.8,ILSVRC2012_val_00000974,True,file
800,0.8,ILSVRC2012_val_00000681,True,file
800,0.8,ILSVRC2012_val_00035574,True,file
800,0.8,ILSVRC2012_val_00003449,True,file
800,0.8,ILSVRC2012_val_00030425,True,file
800,0.8,ILSVRC2012_val_00018922,True,file
800,0.8,ILSVRC2012_val_00041330,True,file
800,0.8,ILSVRC2012_val_00014541,True,file
999,0.999,ILSVRC2012_val_00000487,True,file
999,0.999,ILSVRC2012_val_00035318,True,file
999,0.999,ILSVRC2012_val_00025924,True,file
999,0.999,ILSVRC2012_val_00010733,True,file
999,0.999,ILSVRC2012_val_00030419,True,file
999,0.999,ILSVRC2012_val_00006808,True,file
999,0.999,ILSVRC2012_val_00005130,True,file
999,0.999,ILSVRC2012_val_00029063,True,file
999,0.999,ILSVRC2012_val_00000729,True,file
999,0.999,ILSVRC2012_val_00048463,True,file
999,0.999,ILSVRC2012_val_00027450,True,file
999,0.999,ILSVRC2012_val_00036158,True,file
999,0.999,ILSVRC2012_val_00000974,True,file
999,0.999,ILSVRC2012_val_00000681,True,file
999,0.999,ILSVRC2012_val_00035574,True,file
999,0.999,ILSVRC2012_val_00003449,True,file
