noise_step,rho,layer,layer_idx,mean_cosine,sem_cosine,n_images
0,0.0,features.0,0,1.0,0.0,20
0,0.0,features.1.0,1,1.0,0.0,20
0,0.0,features.1.1,2,1.0,0.0,20
0,0.0,features.1.2,3,1.0,0.0,20
0,0.0,features.2,4,1.0,0.0,20
0,0.0,features.3.0,5,1.0,0.0,20
0,0.0,features.3.1,6,1.0,0.0,20
0,0.0,features.3.2,7,1.0,0.0,20
0,0.0,features.4,8,1.0,0.0,20
0,0.0,features.5.0,9,1.0,0.0,20
0,0.0,features.5.1,10,1.0,0.0,20
0,0.0,features.5.2,11,1.0,0.0,20
0,0.0,features.5.3,12,1.0,0.0,20
0,0.0,features.5.4,13,1.0,0.0,20
0,0.0,features.5.5,14,1.0,0.0,20
0,0.0,features.5.6,15,1.0,0.0,20
0,0.0,features.5.7,16,1.0,0.0,20
0,0.0,features.5.8,17,1.0,0.0,20
0,0.0,features.5.9,18,1.0,0.0,20
0,0.0,features.5.10,19,1.0,0.0,20
0,0.0,features.5.11,20,1.0,0.0,20
0,0.0,features.5.12,21,1.0,0.0,20
0,0.0,features.5.13,22,1.0,0.0,20
0,0.0,features.5.14,23,1.0,0.0,20
0,0.0,features.5.15,24,1.0,0.0,20
0,0.0,features.5.16,25,1.0,0.0,20
0,0.0,features.5.17,26,1.0,0.0,20
0,0.0,features.5.18,27,1.0,0.0,20
0,0.0,features.5.19,28,1.0,0.0,20
0,0.0,features.5.20,29,1.0,0.0,20
0,0.0,features.5.21,30,1.0,0.0,20
0,0.0,features.5.22,31,1.0,0.0,20
0,0.0,features.5.23,32,1.0,0.0,20
0,0.0,features.5.24,33,1.0,0.0,20
0,0.0,features.5.25,34,1.0,0.0,20
0,0.0,features.5.26,35,1.0,0.0,20
0,0.0,features.6,36,1.0,0.0,20
0,0.0,features.7.0,37,1.0,0.0,20
0,0.0,features.7.1,38,1.0,0.0,20
0,0.0,features.7.2,39,1.0,0.0,20
0,0.0,classifier,40,1.0,0.0,20
100,0.1,features.0,0,0.7594994132310845,0.02070486500242725,20
100,0.1,features.1.0,1,0.6989467193844707,0.02011590760391483,20
100,0.1,features.1.1,2,0.6635634027442266,0.017784733365848036,20
100,0.1,features.1.2,3,0.6110221027073472,0.016604992968913365,20
100,0.1,features.2,4,0.6786043119887972,0.014737062236416304,20
100,0.1,features.3.0,5,0.6710084435745727,0.014930919375899436,20
100,0.1,features.3.1,6,0.6497895297061566,0.01586233372973049,20
100,0.1,features.3.2,7,0.643698157805343,0.016316263861316852,20
100,0.1,features.4,8,0.7582684783187024,0.011434113342144532,20
100,0.1,features.5.0,9,0.7581475226685058,0.011149090028514287,20
100,0.1,features.5.1,10,0.7608491246215132,0.011062632578986124,20
100,0.1,features.5.2,11,0.7664171911464182,0.010648186917437241,20
100,0.1,features.5.3,12,0.7711408632051113,0.010286510080867384,20
100,0.1,features.5.4,13,0.7795898960759473,0.009987827748322992,20
100,0.1,features.5.5,14,0.7884742347390152,0.00949445511355547,20
100,0.1,features.5.6,15,0.78854652561282,0.009233778952334551,20
100,0.1,features.5.7,16,0.7934647255706233,0.009060491871088804,20
100,0.1,features.5.8,17,0.7989654998432758,0.008832318450618163,20
100,0.1,features.5.9,18,0.8012730381072954,0.008693847412846753,20
100,0.1,features.5.10,19,0.8054710503539374,0.008446868829417687,20
