noise_step,rho,image_name,layer,layer_idx,cosine_step1
0,0.0,ILSVRC2012_val_00000487,features.0,0,1.0
0,0.0,ILSVRC2012_val_00000487,features.1.0,1,1.0
0,0.0,ILSVRC2012_val_00000487,features.1.1,2,1.0
0,0.0,ILSVRC2012_val_00000487,features.1.2,3,1.0
0,0.0,ILSVRC2012_val_00000487,features.2,4,1.0
0,0.0,ILSVRC2012_val_00000487,features.3.0,5,1.0
0,0.0,ILSVRC2012_val_00000487,features.3.1,6,1.0
0,0.0,ILSVRC2012_val_00000487,features.3.2,7,1.0
0,0.0,ILSVRC2012_val_00000487,features.4,8,1.0
0,0.0,ILSVRC2012_val_00000487,features.5.0,9,1.0
0,0.0,ILSVRC2012_val_00000487,features.5.1,10,1.0
0,0.0,ILSVRC2012_val_00000487,features.5.2,11,1.0
0,0.0,ILSVRC2012_val_00000487,features.5.3,12,1.0
0,0.0,ILSVRC2012_val_00000487,features.5.4,13,1.0
0,0.0,ILSVRC2012_val_00000487,features.5.5,14,1.0
0,0.0,ILSVRC2012_val_00000487,features.5.6,15,1.0
0,0.0,ILSVRC2012_val_00000487,features.5.7,16,1.0
0,0.0,ILSVRC2012_val_00000487,features.5.8,17,1.0
0,0.0,ILSVRC2012_val_00000487,features.5.9,18,1.0
0,0.0,ILSVRC2012_val_00000487,features.5.10,19,1.0
0,0.0,ILSVRC2012_val_00000487,features.5.11,20,1.0
0,0.0,ILSVRC2012_val_00000487,features.5.12,21,1.0
0,0.0,ILSVRC2012_val_00000487,features.5.13,22,1.0
0,0.0,ILSVRC2012_val_00000487,features.5.14,23,1.0
0,0.0,ILSVRC2012_val_00000487,features.5.15,24,1.0
0,0.0,ILSVRC2012_val_00000487,features.5.16,25,1.0
0,0.0,ILSVRC2012_val_00000487,features.5.17,26,1.0
0,0.0,ILSVRC2012_val_00000487,features.5.18,27,1.0
0,0.0,ILSVRC2012_val_00000487,features.5.19,28,1.0
0,0.0,ILSVRC2012_val_00000487,features.5.20,29,1.0
0,0.0,ILSVRC2012_val_00000487,features.5.21,30,1.0
0,0.0,ILSVRC2012_val_00000487,features.5.22,31,1.0
0,0.0,ILSVRC2012_val_00000487,features.5.23,32,1.0
0,0.0,ILSVRC2012_val_00000487,features.5.24,33,1.0
0,0.0,ILSVRC2012_val_00000487,features.5.25,34,1.0
0,0.0,ILSVRC2012_val_00000487,features.5.26,35,1.0
0,0.0,ILSVRC2012_val_00000487,features.6,36,1.0
0,0.0,ILSVRC2012_val_00000487,features.7.0,37,1.0
0,0.0,ILSVRC2012_val_00000487,features.7.1,38,1.0
0,0.0,ILSVRC2012_val_00000487,features.7.2,39,1.0
0,0.0,ILSVRC2012_val_00000487,classifier,40,1.0
0,0.0,ILSVRC2012_val_00000681,features.0,0,1.0
0,0.0,ILSVRC2012_val_00000681,features.1.0,1,1.0
0,0.0,ILSVRC2012_val_00000681,features.1.1,2,1.0
0,0.0,ILSVRC2012_val_00000681,features.1.2,3,1.0
0,0.0,ILSVRC2012_val_00000681,features.2,4,1.0
0,0.0,ILSVRC2012_val_00000681,features.3.0,5,1.0
0,0.0,ILSVRC2012_val_00000681,features.3.1,6,1.0
0,0.0,ILSVRC2012_val_00000681,features.3.2,7,1.0
0,0.0,ILSVRC2012_val_00000681,features.4,8,1.0
0,0.0,ILSVRC2012_val_00000681,features.5.0,9,1.0
0,0.0,ILSVRC2012_val_00000681,features.5.1,10,1.0
0,0.0,ILSVRC2012_val_00000681,features.5.2,11,1.0
0,0.0,ILSVRC2012_val_00000681,features.5.3,12,1.0
0,0.0,ILSVRC2012_val_00000681,features.5.4,13,1.0
0,0.0,ILSVRC2012_val_00000681,features.5.5,14,1.0
0,0.0,ILSVRC2012_val_00000681,features.5.6,15,1.0
0,0.0,ILSVRC2012_val_00000681,features.5.7,16,1.0
0,0.0,ILSVRC2012_val_00000681,features.5.8,17,1.0
0,0.0,ILSVRC2012_val_00000681,features.5.9,18,1.0
0,0.0,ILSVRC2012_val_00000681,features.5.10,19,1.0
0,0.0,ILSVRC2012_val_00000681,features.5.11,20,1.0
0,0.0,ILSVRC2012_val_00000681,features.5.12,21,1.0
0,0.0,ILSVRC2012_val_00000681,features.5.13,22,1.0
0,0.0,ILSVRC2012_val_00000681,features.5.14,23,1.0
0,0.0,ILSVRC2012_val_00000681,features.5.15,24,1.0
0,0.0,ILSVRC2012_val_00000681,features.5.16,25,1.0
0,0.0,ILSVRC2012_val_00000681,features.5.17,26,1.0
0,0.0,ILSVRC2012_val_00000681,features.5.18,27,1.0
0,0.0,ILSVRC2012_val_00000681,features.5.19,28,1.0
0,0.0,ILSVRC2012_val_00000681,features.5.20,29,1.0
0,0.0,ILSVRC2012_val_00000681,features.5.21,30,1.0
0,0.0,ILSVRC2012_val_00000681,features.5.22,31,1.0
0,0.0,ILSVRC2012_val_00000681,features.5.23,32,1.0
0,0.0,ILSVRC2012_val_00000681,features.5.24,33,1.0
0,0.0,ILSVRC2012_val_00000681,features.5.25,34,1.0
0,0.0,ILSVRC2012_val_00000681,features.5.26,35,1.0
0,0.0,ILSVRC2012_val_00000681,features.6,36,1.0
0,0.0,ILSVRC2012_val_00000681,features.7.0,37,1.0
0,0.0,ILSVRC2012_val_00000681,features.7.1,38,1.0
0,0.0,ILSVRC2012_val_00000681,features.7.2,39,1.0
0,0.0,ILSVRC2012_val_00000681,classifier,40,1.0
0,0.0,ILSVRC2012_val_00000729,features.0,0,1.0
0,0.0,ILSVRC2012_val_00000729,features.1.0,1,1.0
0,0.0,ILSVRC2012_val_00000729,features.1.1,2,1.0
0,0.0,ILSVRC2012_val_00000729,features.1.2,3,1.0
0,0.0,ILSVRC2012_val_00000729,features.2,4,1.0
0,0.0,ILSVRC2012_val_00000729,features.3.0,5,1.0
0,0.0,ILSVRC2012_val_00000729,features.3.1,6,1.0
0,0.0,ILSVRC2012_val_00000729,features.3.2,7,1.0
0,0.0,ILSVRC2012_val_00000729,features.4,8,1.0
0,0.0,ILSVRC2012_val_00000729,features.5.0,9,1.0
0,0.0,ILSVRC2012_val_00000729,features.5.1,10,1.0
0,0.0,ILSVRC2012_val_00000729,features.5.2,11,1.0
0,0.0,ILSVRC2012_val_00000729,features.5.3,12,1.0
0,0.0,ILSVRC2012_val_00000729,features.5.4,13,1.0
0,0.0,ILSVRC2012_val_00000729,features.5.5,14,1.0
0,0.0,ILSVRC2012_val_00000729,features.5.6,15,1.0
0,0.0,ILSVRC2012_val_00000729,features.5.7,16,1.0
0,0.0,ILSVRC2012_val_00000729,features.5.8,17,1.0
0,0.0,ILSVRC2012_val_00000729,features.5.9,18,1.0
0,0.0,ILSVRC2012_val_00000729,features.5.10,19,1.0
0,0.0,ILSVRC2012_val_00000729,features.5.11,20,1.0
0,0.0,ILSVRC2012_val_00000729,features.5.12,21,1.0
0,0.0,ILSVRC2012_val_00000729,features.5.13,22,1.0
0,0.0,ILSVRC2012_val_00000729,features.5.14,23,1.0
0,0.0,ILSVRC2012_val_00000729,features.5.15,24,1.0
0,0.0,ILSVRC2012_val_00000729,features.5.16,25,1.0
0,0.0,ILSVRC2012_val_00000729,features.5.17,26,1.0
0,0.0,ILSVRC2012_val_00000729,features.5.18,27,1.0
0,0.0,ILSVRC2012_val_00000729,features.5.19,28,1.0
0,0.0,ILSVRC2012_val_00000729,features.5.20,29,1.0
0,0.0,ILSVRC2012_val_00000729,features.5.21,30,1.0
0,0.0,ILSVRC2012_val_00000729,features.5.22,31,1.0
0,0.0,ILSVRC2012_val_00000729,features.5.23,32,1.0
