variant,exclude_classifier,noise_step,rho,n_images,half_life_gap_mean,half_life_gap_sd,half_life_gap_sem
with_classifier,False,100,0.1,10,0.46241805452943885,0.23082905690697744,0.07299455699746703
with_classifier,False,200,0.2,10,0.2732403894034241,0.25856880133267957,0.08176663440708484
with_classifier,False,400,0.4,20,0.1714121947987081,0.21760591740370352,0.04865816236208856
with_classifier,False,600,0.6,20,0.004286901330806658,0.009997940200722371,0.0022356073923793115
with_classifier,False,800,0.8,20,-0.00013000333475034507,0.00031959205655971866,7.146295635364885e-05
with_classifier,False,999,0.999,20,2.3793057705091737e-05,0.00011956006151767451,2.673444249475769e-05
without_classifier,True,100,0.1,13,0.407652320209182,0.29377026364293685,0.08147721144393719
without_classifier,True,200,0.2,16,0.34255503065856,0.352433464304312,0.088108366076078
without_classifier,True,400,0.4,20,0.0938367432483085,0.1396182019166626,0.0312195790381949
without_classifier,True,600,0.6,20,0.0009363473591324732,0.002870794033015733,0.0006419290607223954
without_classifier,True,800,0.8,20,-0.0002768637961630514,0.00031989830981578706,7.15314366635388e-05
without_classifier,True,999,0.999,20,-4.008567675401627e-05,0.00011677377435845823,2.611140974547345e-05
