variant,exclude_classifier,noise_step,rho,n_images,gap_mean,gap_sd,gap_sem
with_classifier,False,0,0.0,20,0.0,0.0,0.0
with_classifier,False,100,0.1,20,0.11077562593120013,0.042570670774824876,0.009519091370027205
with_classifier,False,200,0.2,20,0.14349182207580058,0.060464844842407314,0.013520350331660031
with_classifier,False,400,0.4,20,0.1505217704921961,0.08496572113748897,0.01899891282207161
with_classifier,False,600,0.6,20,0.048627951815918426,0.09247728036114387,0.020678548526182398
with_classifier,False,800,0.8,20,-0.010648021767750242,0.024619971521805176,0.005505192992686532
with_classifier,False,999,0.999,20,0.00232881805694585,0.011210494567272229,0.0025067427913812793
without_classifier,True,0,0.0,20,0.0,0.0,0.0
without_classifier,True,100,0.1,20,0.09750879632837547,0.042982185421113504,0.009611108842311021
without_classifier,True,200,0.2,20,0.11992161720969538,0.06311686954105745,0.014113361082079041
without_classifier,True,400,0.4,20,0.11057142537708078,0.0898320057641331,0.020087047144375453
without_classifier,True,600,0.6,20,0.015411200684223641,0.08318086872360594,0.018599807689346905
without_classifier,True,800,0.8,20,-0.023314481968166878,0.02450304025362767,0.005479046366252516
without_classifier,True,999,0.999,20,-0.0036348107691446556,0.010941646972992453,0.002446626641741593
